movie_id,keyword
11859,158247
11859,176802
11859,181145
11859,188294
28387,3616
48750,90
48750,745
48750,2792
48750,10909
48750,11508
20927,2778
20927,10235
36929,10624
9102,312
9102,10158
9102,15354
27526,6381
27526,6440
27526,9748
27526,9937
27526,10183
27526,10614
9623,1417
9623,1936
9623,3012
9623,5153
9623,11038
9623,33519
46785,1357
46785,10594
46785,33648
46785,40846
400,494
400,801
400,1422
400,1587
400,1909
400,1977
400,2022
400,2340
400,2708
400,6054
400,6259
400,9748
400,9826
400,10183
400,10391
400,10738
400,11221
400,13142
400,14819
400,33625
400,34094
880,236
880,240
880,460
880,490
880,570
880,791
880,936
880,1842
880,1956
880,2383
880,3154
880,3371
880,4129
880,4402
880,5331
880,6009
880,6089
880,6145
880,9457
880,10180
880,10707
880,11925
880,13160
880,187056
146599,6984
146599,10235
146599,11004
146599,12532
8447,4034
8447,7579
8447,14760
8447,182662
8447,208526
10534,2082
10534,2913
10534,3180
10534,10349
10534,10683
10534,18068
10534,46962
10534,167836
10534,167837
10534,167843
10534,167861
10534,167863
10534,167868
10534,168683
10534,208992
17414,5306
17414,5572
17414,10624
17414,14762
17414,158039
13997,169078
13997,169079
13997,169085
13997,169086
13997,169097
13997,187056
2086,441
2086,477
2086,6078
2086,12670
9095,964
9095,1299
9095,10124
9095,156033
9095,191009
9095,207928
12158,3133
12158,3630
9283,155808
9208,720
9208,1261
9208,1316
9208,1353
9208,1666
9208,1825
9208,3203
9208,5572
9208,8122
9208,9052
9208,10085
9208,12371
9208,13008
9208,14601
9208,15263
9208,18034
9208,162365
9208,208547
9208,209476
9208,214472
9208,215861
9208,219869
40154,14531
40154,185011
40154,207317
40154,207716
406,90
406,376
406,379
406,642
406,796
406,898
406,1419
406,1952
406,1974
406,1975
406,3925
406,9748
406,14632
406,14819
406,15090
406,156052
406,156702
406,160910
63076,2398
63076,12396
63076,13059
11062,417
11062,1568
11062,1601
11062,1919
11062,2231
11062,2946
11062,4654
11062,5340
11062,6149
11062,14964
13685,380
13685,642
13685,1437
13685,2568
13685,2669
13685,10183
13685,10323
13685,13097
13685,14604
13685,15274
13685,187710
13685,187717
2045,1157
2045,1706
2045,6149
2045,9826
2045,9937
2045,10937
2045,160313
2045,163114
2045,168069
9614,936
9614,1872
9614,2702
9614,6075
9614,6128
688,455
688,596
688,699
688,1003
688,1157
688,2029
688,2038
688,2784
688,3450
688,3451
688,3452
688,4402
688,5809
688,6025
688,6059
688,7879
688,221355
11907,530
11907,3392
11907,9457
11907,13072
11907,187056
11907,196682
10874,2041
10874,4418
10874,6300
10874,6956
96357,156121
